TaxonID	3847
MappingPopulation	PI200538_x_CNS
Journal	Theoretical and Applied Genetics
Year	1997
Volume	95
Pages	664-670
Title	DNA marker analysis of loci conferring resistance to peanut root-knot nematode in soybean
Peanut root-knot nematode 1-1	Reaction to Meloidogyne arenaria
Peanut root-knot nematode 1-2	Reaction to Meloidogyne arenaria
Peanut root-knot nematode 1-3	Reaction to Meloidogyne arenaria
Peanut root-knot nematode 1-4	Reaction to Meloidogyne arenaria
Peanut root-knot nematode 1-5	Reaction to Meloidogyne arenaria
Peanut root-knot nematode 2-1	Reaction to Meloidogyne arenaria
Peanut root-knot nematode 2-2	Reaction to Meloidogyne arenaria
