TaxonID	3847
MappingPopulation	Essex_x_PI437654
Title	Intricate environment-modulated genetic networks control isoflavone accumulation in soybean seeds
Seed daidzein 6-1	Seed daidzein content
Seed daidzein 6-2	Seed daidzein content
Seed daidzein 6-3	Seed daidzein content
Seed daidzein 6-4	Seed daidzein content
Seed genistein 6-1	Seed genistein content
Seed genistein 6-2	Seed genistein content
Seed genistein 6-3	Seed genistein content
Seed genistein 6-4	Seed genistein content
Seed glycitein 6-1	Seed glycitein content
Seed glycitein 6-2	Seed glycitein content
Seed glycitein 6-3	Seed glycitein content
Seed glycitein 6-4	Seed glycitein content
Seed isoflavone 5-1	Seed isoflavone content
Seed isoflavone 5-2	Seed isoflavone content
Seed isoflavone 5-3	Seed isoflavone content
