TaxonID	3847
MappingPopulation	KefengNo.1_x_NN1138-2
Title	Genetic components and major QTL confer resistance to bean pyralid (Lamprosema indicata Fabricius) under multiple environments in four RIL populations of soybean
Bean pyralid 1-1	Reaction to Lamprosema indicata
Bean pyralid 1-2	Reaction to Lamprosema indicata
Bean pyralid 1-3	Reaction to Lamprosema indicata
Bean pyralid 1-4	Reaction to Lamprosema indicata
Bean pyralid 1-5	Reaction to Lamprosema indicata
Bean pyralid 1-6	Reaction to Lamprosema indicata
Bean pyralid 1-7	Reaction to Lamprosema indicata
Bean pyralid 1-8	Reaction to Lamprosema indicata
